Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Sex,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),4,Afghanistan,G,FEMALE,PERCENT,,,,,,,27.31,27.31,27.69,27.69,27.31,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.71,,27.02,27.02,27.02,NaN,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),8,Albania,G,FEMALE,PERCENT,5.16,5.16,5.71,5.71,5.71,6.43,7.14,7.14,7.14,7.14,16.43,16.43,15.71,15.71,20.00,20.71,20.71,22.86,27.86,29.29,29.51,29.51,35.71,35.71,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),12,Algeria,G,FEMALE,PERCENT,3.16,3.42,3.42,6.17,6.17,6.17,6.17,6.17,7.71,7.71,7.71,7.71,7.97,31.60,31.60,31.60,31.60,31.60,25.76,25.76,25.76,25.97,8.11,7.86,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),20,Andorra,G,FEMALE,PERCENT,7.14,7.14,14.29,14.29,14.29,14.29,28.57,28.57,25.00,25.00,35.71,35.71,50.00,50.00,50.00,50.00,39.29,32.14,32.14,32.14,46.43,46.43,46.43,46.43,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),24,Angola,G,FEMALE,PERCENT,15.45,15.45,15.45,15.45,15.45,15.00,15.00,15.00,15.00,37.27,38.64,38.64,38.18,34.09,36.82,36.82,36.82,38.18,30.45,30.00,30.00,29.55,29.55,33.64,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),28,Antigua and Barbuda,G,FEMALE,PERCENT,5.26,5.26,5.26,5.26,5.26,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),32,Argentina,G,FEMALE,PERCENT,28.02,26.46,30.74,30.74,30.74,33.73,36.19,35.02,40.00,40.00,38.52,38.52,37.35,37.35,36.58,36.19,35.80,38.91,38.91,38.82,40.86,42.41,44.75,44.75,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),51,Armenia,G,FEMALE,PERCENT,3.05,3.05,3.05,3.05,4.58,5.34,5.34,5.34,9.16,8.40,9.16,9.16,8.40,10.69,10.69,10.69,10.69,9.92,18.10,24.24,23.48,22.73,34.58,35.51,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),36,Australia,G,FEMALE,PERCENT,22.45,22.97,25.33,25.33,25.33,24.67,24.67,24.67,26.67,26.67,27.33,24.67,24.67,24.67,26.00,26.67,26.67,28.67,28.67,30.00,30.46,31.13,31.13,38.41,,,,,,,,,,,,,,,,,,
5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),40,Austria,G,FEMALE,PERCENT,26.78,26.78,26.78,33.88,33.88,33.88,33.88,32.24,32.79,27.32,27.87,27.87,27.87,27.87,32.24,30.60,30.60,30.60,34.43,37.16,39.34,39.89,41.53,40.44,,,,,,,,,,,,,,,,,,
